geo_code,total_households,deprived_0,deprived_1,deprived_2,deprived_3,deprived_4,multi_deprived,any_deprived,area_name,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived
E06000001,40434,14351,12821,9970,3104,188,13262,26083,Hartlepool,35.49,31.71,24.66,7.68,0.46,32.8,64.51
E06000002,57203,19729,18615,13717,4789,353,18859,37474,Middlesbrough,34.49,32.54,23.98,8.37,0.62,32.97,65.51
E06000003,59605,22517,19351,13773,3681,283,17737,37088,Redcar and Cleveland,37.78,32.47,23.11,6.18,0.47,29.76,62.22
E06000004,79159,34306,24692,15755,4114,292,20161,44853,Stockton-on-Tees,43.34,31.19,19.9,5.2,0.37,25.47,56.66
E06000005,46670,20184,14922,8954,2407,203,11564,26486,Darlington,43.25,31.97,19.19,5.16,0.43,24.78,56.75
E06000006,53312,20060,16642,12238,4105,267,16610,33252,Halton,37.63,31.22,22.96,7.7,0.5,31.16,62.37
E06000007,85140,40205,25930,14960,3755,290,19005,44935,Warrington,47.22,30.46,17.57,4.41,0.34,22.32,52.78
E06000008,57353,20599,18421,13105,4779,449,18333,36754,Blackburn with Darwen,35.92,32.12,22.85,8.33,0.78,31.97,64.08
E06000009,64367,20308,20700,16465,5985,909,23359,44059,Blackpool,31.55,32.16,25.58,9.3,1.41,36.29,68.45
E06000010,112596,37719,37207,27899,9024,747,37670,74877,"Kingston upon Hull, City of",33.5,33.04,24.78,8.01,0.66,33.46,66.5
E06000011,143032,66055,46722,25187,4665,403,30255,76977,East Riding of Yorkshire,46.18,32.67,17.61,3.26,0.28,21.15,53.82
E06000012,69707,26569,23201,15505,4132,300,19937,43138,North East Lincolnshire,38.12,33.28,22.24,5.93,0.43,28.6,61.88
E06000013,70684,29434,23407,14508,3116,219,17843,41250,North Lincolnshire,41.64,33.11,20.53,4.41,0.31,25.24,58.36
E06000014,83552,41409,26882,12526,2524,211,15261,42143,York,49.56,32.17,14.99,3.02,0.25,18.27,50.44
E06000015,102271,41618,33029,20996,6054,574,27624,60653,Derby,40.69,32.3,20.53,5.92,0.56,27.01,59.31
E06000016,123125,40214,41982,29765,9915,1249,40929,82911,Leicester,32.66,34.1,24.17,8.05,1.01,33.24,67.34
E06000017,15002,8042,4679,1936,332,13,2281,6960,Rutland,53.61,31.19,12.9,2.21,0.09,15.2,46.39
E06000018,126131,43326,42708,29144,9942,1011,40097,82805,Nottingham,34.35,33.86,23.11,7.88,0.8,31.79,65.65
E06000019,78319,34469,26487,13969,3131,263,17363,43850,"Herefordshire, County of",44.01,33.82,17.84,4.0,0.34,22.17,55.99
E06000020,66608,27793,21348,13548,3673,246,17467,38815,Telford and Wrekin,41.73,32.05,20.34,5.51,0.37,26.22,58.27
E06000021,107575,36409,33967,27659,8902,638,37199,71166,Stoke-on-Trent,33.85,31.58,25.71,8.28,0.59,34.58,66.15
E06000022,73515,36446,23106,11348,2351,264,13963,37069,Bath and North East Somerset,49.58,31.43,15.44,3.2,0.36,18.99,50.42
E06000023,182747,77443,58827,34808,10430,1239,46477,105304,"Bristol, City of",42.38,32.19,19.05,5.71,0.68,25.43,57.62
E06000024,88227,41762,28397,14492,3212,364,18068,46465,North Somerset,47.33,32.19,16.43,3.64,0.41,20.48,52.67
E06000025,107538,54100,33900,16216,3042,280,19538,53438,South Gloucestershire,50.31,31.52,15.08,2.83,0.26,18.17,49.69
E06000026,109307,43157,36415,22169,6754,812,29735,66150,Plymouth,39.48,33.31,20.28,6.18,0.74,27.2,60.52
E06000027,59010,21315,20367,13148,3627,553,17328,37695,Torbay,36.12,34.51,22.28,6.15,0.94,29.36,63.88
E06000030,88360,40187,28500,15432,3880,361,19673,48173,Swindon,45.48,32.25,17.46,4.39,0.41,22.26,54.52
E06000031,74023,29667,24589,15215,4115,437,19767,44356,Peterborough,40.08,33.22,20.55,5.56,0.59,26.7,59.92
E06000032,74293,26640,26416,16185,4538,514,21237,47653,Luton,35.86,35.56,21.79,6.11,0.69,28.59,64.14
E06000033,74678,29872,24948,14927,4381,550,19858,44806,Southend-on-Sea,40.0,33.41,19.99,5.87,0.74,26.59,60.0
E06000034,62353,24074,21335,13349,3283,312,16944,38279,Thurrock,38.61,34.22,21.41,5.27,0.5,27.17,61.39
E06000035,106209,44119,35652,20314,5550,574,26438,62090,Medway,41.54,33.57,19.13,5.23,0.54,24.89,58.46
E06000036,45878,24325,13911,6254,1244,144,7642,21553,Bracknell Forest,53.02,30.32,13.63,2.71,0.31,16.66,46.98
E06000037,62340,33452,18842,8218,1667,161,10046,28888,West Berkshire,53.66,30.22,13.18,2.67,0.26,16.11,46.34
E06000038,62869,28876,20443,10326,2883,341,13550,33993,Reading,45.93,32.52,16.42,4.59,0.54,21.55,54.07
E06000039,50766,17733,18437,11077,3156,363,14596,33033,Slough,34.93,36.32,21.82,6.22,0.72,28.75,65.07
E06000040,58349,31762,17645,7446,1364,132,8942,26587,Windsor and Maidenhead,54.43,30.24,12.76,2.34,0.23,15.33,45.57
E06000041,60332,35852,17126,6267,998,89,7354,24480,Wokingham,59.42,28.39,10.39,1.65,0.15,12.19,40.58
E06000042,98584,46086,31678,16220,4169,431,20820,52498,Milton Keynes,46.75,32.13,16.45,4.23,0.44,21.12,53.25
E06000043,121540,52226,39931,21628,6704,1051,29383,69314,Brighton and Hove,42.97,32.85,17.79,5.52,0.86,24.18,57.03
E06000044,85473,35779,28114,16105,4894,581,21580,49694,Portsmouth,41.86,32.89,18.84,5.73,0.68,25.25,58.14
E06000045,98254,39116,32798,19691,5871,778,26340,59138,Southampton,39.81,33.38,20.04,5.98,0.79,26.81,60.19
E06000046,61085,23935,21358,12460,2992,340,15792,37150,Isle of Wight,39.18,34.96,20.4,4.9,0.56,25.85,60.82
E06000047,223803,87986,68885,51846,14353,733,66932,135817,County Durham,39.31,30.78,23.17,6.41,0.33,29.91,60.69
E06000049,159441,79623,48842,25289,5287,400,30976,79818,Cheshire East,49.94,30.63,15.86,3.32,0.25,19.43,50.06
E06000050,141442,66475,43630,24840,6044,453,31337,74967,Cheshire West and Chester,47.0,30.85,17.56,4.27,0.32,22.16,53.0
E06000051,129674,59558,42311,22718,4713,374,27805,70116,Shropshire,45.93,32.63,17.52,3.63,0.29,21.44,54.07
E06000052,230389,92572,79717,45836,11126,1138,58100,137817,Cornwall,40.18,34.6,19.9,4.83,0.49,25.22,59.82
E06000053,989,380,414,158,36,1,195,609,Isles of Scilly,38.42,41.86,15.98,3.64,0.1,19.72,61.58
E06000054,194194,96645,62496,28845,5720,488,35053,97549,Wiltshire,49.77,32.18,14.85,2.95,0.25,18.05,50.23
E06000055,63812,29041,20595,11212,2671,293,14176,34771,Bedford,45.51,32.27,17.57,4.19,0.46,22.22,54.49
E06000056,104399,52706,32753,15716,2955,269,18940,51693,Central Bedfordshire,50.49,31.37,15.05,2.83,0.26,18.14,49.51
E07000008,46714,22925,15072,6738,1791,188,8717,23789,Cambridge,49.08,32.26,14.42,3.83,0.4,18.66,50.92
E07000009,34614,17169,11066,5345,972,62,6379,17445,East Cambridgeshire,49.6,31.97,15.44,2.81,0.18,18.43,50.4
E07000010,40620,14722,14027,9539,2163,169,11871,25898,Fenland,36.24,34.53,23.48,5.32,0.42,29.22,63.76
E07000011,69333,34924,21965,10324,1945,175,12444,34409,Huntingdonshire,50.37,31.68,14.89,2.81,0.25,17.95,49.63
E07000012,59960,33545,17691,7443,1196,85,8724,26415,South Cambridgeshire,55.95,29.5,12.41,1.99,0.14,14.55,44.05
E07000026,42345,17943,13608,8475,2205,114,10794,24402,Allerdale,42.37,32.14,20.01,5.21,0.27,25.49,57.63
E07000027,31224,11795,9630,7095,2420,284,9799,19429,Barrow-in-Furness,37.78,30.84,22.72,7.75,0.91,31.38,62.22
E07000028,48342,20497,15935,9209,2482,219,11910,27845,Carlisle,42.4,32.96,19.05,5.13,0.45,24.64,57.6
E07000029,30536,12620,9514,6428,1849,125,8402,17916,Copeland,41.33,31.16,21.05,6.06,0.41,27.52,58.67
E07000030,23043,10618,7794,3830,730,71,4631,12425,Eden,46.08,33.82,16.62,3.17,0.31,20.1,53.92
E07000031,46552,22544,15661,6948,1308,91,8347,24008,South Lakeland,48.43,33.64,14.93,2.81,0.2,17.93,51.57
E07000032,52596,22842,16419,10780,2396,159,13335,29754,Amber Valley,43.43,31.22,20.5,4.56,0.3,25.35,56.57
E07000033,32801,11691,10206,8541,2253,110,10904,21110,Bolsover,35.64,31.11,26.04,6.87,0.34,33.24,64.36
E07000034,46796,18525,14804,10469,2805,193,13467,28271,Chesterfield,39.59,31.64,22.37,5.99,0.41,28.78,60.41
E07000035,30744,14941,9756,5074,903,70,6047,15803,Derbyshire Dales,48.6,31.73,16.5,2.94,0.23,19.67,51.4
E07000036,48692,20935,15286,9926,2356,189,12471,27757,Erewash,42.99,31.39,20.39,4.84,0.39,25.61,57.01
E07000037,38946,18433,12058,6704,1635,116,8455,20513,High Peak,47.33,30.96,17.21,4.2,0.3,21.71,52.67
E07000038,43070,18134,13839,9065,1916,116,11097,24936,North East Derbyshire,42.1,32.13,21.05,4.45,0.27,25.77,57.9
E07000039,38992,19057,11781,6689,1381,84,8154,19935,South Derbyshire,48.87,30.21,17.15,3.54,0.22,20.91,51.13
E07000040,59071,26254,20861,10109,1709,138,11956,32817,East Devon,44.44,35.32,17.11,2.89,0.23,20.24,55.56
E07000041,49242,21874,16121,8606,2335,306,11247,27368,Exeter,44.42,32.74,17.48,4.74,0.62,22.84,55.58
E07000042,32758,14780,11023,5642,1205,108,6955,17978,Mid Devon,45.12,33.65,17.22,3.68,0.33,21.23,54.88
E07000043,40001,16745,13820,7583,1684,169,9436,23256,North Devon,41.86,34.55,18.96,4.21,0.42,23.59,58.14
E07000044,36858,17612,12343,5707,1104,92,6903,19246,South Hams,47.78,33.49,15.48,3.0,0.25,18.73,52.22
E07000045,54003,23867,18111,9795,2017,213,12025,30136,Teignbridge,44.2,33.54,18.14,3.73,0.39,22.27,55.8
E07000046,27986,11283,9876,5445,1220,162,6827,16703,Torridge,40.32,35.29,19.46,4.36,0.58,24.39,59.68
E07000047,22725,10282,7660,3882,831,70,4783,12443,West Devon,45.25,33.71,17.08,3.66,0.31,21.05,54.75
E07000061,45012,17651,15568,9124,2345,324,11793,27361,Eastbourne,39.21,34.59,20.27,5.21,0.72,26.2,60.79
E07000062,41159,14957,13820,8995,3002,385,12382,26202,Hastings,36.34,33.58,21.85,7.29,0.94,30.08,63.66
E07000063,42181,18710,14194,7570,1555,152,9277,23471,Lewes,44.36,33.65,17.95,3.69,0.36,21.99,55.64
E07000064,40877,16454,14615,8147,1536,125,9808,24423,Rother,40.25,35.75,19.93,3.76,0.31,23.99,59.75
E07000065,62676,30384,20768,9793,1616,115,11524,32292,Wealden,48.48,33.14,15.62,2.58,0.18,18.39,51.52
E07000066,72746,29142,24488,15049,3721,346,19116,43604,Basildon,40.06,33.66,20.69,5.12,0.48,26.28,59.94
E07000067,61043,28148,19753,10713,2253,176,13142,32895,Braintree,46.11,32.36,17.55,3.69,0.29,21.53,53.89
E07000068,30646,15079,9945,4611,932,79,5622,15567,Brentwood,49.2,32.45,15.05,3.04,0.26,18.34,50.8
E07000069,36440,14050,12821,7949,1496,124,9569,22390,Castle Point,38.56,35.18,21.81,4.11,0.34,26.26,61.44
E07000070,69667,34995,21956,10422,2081,213,12716,34672,Chelmsford,50.23,31.52,14.96,2.99,0.31,18.25,49.77
E07000071,71634,33832,23065,11654,2807,276,14737,37802,Colchester,47.23,32.2,16.27,3.92,0.39,20.57,52.77
E07000072,51991,23280,17479,9126,1924,182,11232,28711,Epping Forest,44.78,33.62,17.55,3.7,0.35,21.6,55.22
E07000073,34620,13064,12288,7278,1785,205,9268,21556,Harlow,37.74,35.49,21.02,5.16,0.59,26.77,62.26
E07000074,25817,11811,8611,4408,894,93,5395,14006,Maldon,45.75,33.35,17.07,3.46,0.36,20.9,54.25
E07000075,33564,14897,11434,6166,990,77,7233,18667,Rochford,44.38,34.07,18.37,2.95,0.23,21.55,55.62
E07000076,62105,20133,21951,16026,3647,348,20021,41972,Tendring,32.42,35.34,25.8,5.87,0.56,32.24,67.58
E07000077,31316,16774,9554,4213,727,48,4988,14542,Uttlesford,53.56,30.51,13.45,2.32,0.15,15.93,46.44
E07000078,50929,25555,16032,7389,1768,185,9342,25374,Cheltenham,50.18,31.48,14.51,3.47,0.36,18.34,49.82
E07000079,36236,18505,11743,5114,816,58,5988,17731,Cotswold,51.07,32.41,14.11,2.25,0.16,16.53,48.93
E07000080,34167,14810,11345,6601,1314,97,8012,19357,Forest of Dean,43.35,33.2,19.32,3.85,0.28,23.45,56.65
E07000081,50363,21900,16537,9300,2350,276,11926,28463,Gloucester,43.48,32.84,18.47,4.67,0.55,23.68,56.52
E07000082,47794,24360,14867,7113,1362,92,8567,23434,Stroud,50.97,31.11,14.88,2.85,0.19,17.92,49.03
E07000083,35126,17606,11256,5253,919,92,6264,17520,Tewkesbury,50.12,32.04,14.95,2.62,0.26,17.83,49.88
E07000084,69315,36020,21544,9740,1854,157,11751,33295,Basingstoke and Deane,51.97,31.08,14.05,2.67,0.23,16.95,48.03
E07000085,47258,25342,14682,5993,1133,108,7234,21916,East Hampshire,53.62,31.07,12.68,2.4,0.23,15.31,46.38
E07000086,52177,26804,16208,7611,1451,103,9165,25373,Eastleigh,51.37,31.06,14.59,2.78,0.2,17.57,48.63
E07000087,46579,24194,14671,6528,1090,96,7714,22385,Fareham,51.94,31.5,14.01,2.34,0.21,16.56,48.06
E07000088,35430,15482,11954,6313,1545,136,7994,19948,Gosport,43.7,33.74,17.82,4.36,0.38,22.56,56.3
E07000089,35510,20828,10300,3805,541,36,4382,14682,Hart,58.65,29.01,10.72,1.52,0.1,12.34,41.35
E07000090,51311,21319,17352,9694,2645,301,12640,29992,Havant,41.55,33.82,18.89,5.15,0.59,24.63,58.45
E07000091,76839,35936,25927,12608,2189,179,14976,40903,New Forest,46.77,33.74,16.41,2.85,0.23,19.49,53.23
E07000092,36344,17262,11898,5624,1401,159,7184,19082,Rushmoor,47.5,32.74,15.47,3.85,0.44,19.77,52.5
E07000093,47626,24913,14813,6580,1218,102,7900,22713,Test Valley,52.31,31.1,13.82,2.56,0.21,16.59,47.69
E07000094,46865,26042,13971,5674,1072,106,6852,20823,Winchester,55.57,29.81,12.11,2.29,0.23,14.62,44.43
E07000095,37658,15313,13027,7455,1661,202,9318,22345,Broxbourne,40.66,34.59,19.8,4.41,0.54,24.74,59.34
E07000096,59938,29725,18762,9260,1974,217,11451,30213,Dacorum,49.59,31.3,15.45,3.29,0.36,19.1,50.41
E07000098,39778,18571,13079,6619,1392,117,8128,21207,Hertsmere,46.69,32.88,16.64,3.5,0.29,20.43,53.31
E07000099,53426,27418,16458,7856,1555,139,9550,26008,North Hertfordshire,51.32,30.81,14.7,2.91,0.26,17.88,48.68
E07000102,35108,17847,10935,5141,1081,104,6326,17261,Three Rivers,50.83,31.15,14.64,3.08,0.3,18.02,49.17
E07000103,36681,16757,12191,6019,1510,204,7733,19924,Watford,45.68,33.24,16.41,4.12,0.56,21.08,54.32
E07000105,47787,22348,15530,8104,1646,159,9909,25439,Ashford,46.77,32.5,16.96,3.44,0.33,20.74,53.23
E07000106,60771,26802,20299,10990,2398,282,13670,33969,Canterbury,44.1,33.4,18.08,3.95,0.46,22.49,55.9
E07000107,40081,17575,13593,7133,1617,163,8913,22506,Dartford,43.85,33.91,17.8,4.03,0.41,22.24,56.15
E07000108,48310,19504,16204,9988,2375,239,12602,28806,Dover,40.37,33.54,20.67,4.92,0.49,26.09,59.63
E07000109,40431,15951,13875,8240,2151,214,10605,24480,Gravesham,39.45,34.32,20.38,5.32,0.53,26.23,60.55
E07000110,63447,29940,20502,10517,2265,223,13005,33507,Maidstone,47.19,32.31,16.58,3.57,0.35,20.5,52.81
E07000111,47020,23901,14796,6877,1366,80,8323,23119,Sevenoaks,50.83,31.47,14.63,2.91,0.17,17.7,49.17
E07000112,47379,18371,16382,9685,2541,400,12626,29008,Folkestone and Hythe,38.77,34.58,20.44,5.36,0.84,26.65,61.23
E07000113,55585,22310,18402,11430,3110,333,14873,33275,Swale,40.14,33.11,20.56,5.6,0.6,26.76,59.86
E07000114,59513,20410,20419,14331,3889,464,18684,39103,Thanet,34.3,34.31,24.08,6.53,0.78,31.39,65.7
E07000115,48140,23856,15382,7245,1536,121,8902,24284,Tonbridge and Malling,49.56,31.95,15.05,3.19,0.25,18.49,50.44
E07000116,47174,24012,14686,6712,1582,182,8476,23162,Tunbridge Wells,50.9,31.13,14.23,3.35,0.39,17.97,49.1
E07000117,37550,13608,11758,8822,3059,303,12184,23942,Burnley,36.24,31.31,23.49,8.15,0.81,32.45,63.76
E07000118,44919,21585,13580,7697,1906,151,9754,23334,Chorley,48.05,30.23,17.14,4.24,0.34,21.71,51.95
E07000119,34885,15920,11415,6108,1310,132,7550,18965,Fylde,45.64,32.72,17.51,3.76,0.38,21.64,54.36
E07000120,34341,13025,10847,7783,2461,225,10469,21316,Hyndburn,37.93,31.59,22.66,7.17,0.66,30.49,62.07
E07000121,57822,25414,18390,10773,2936,309,14018,32408,Lancaster,43.95,31.8,18.63,5.08,0.53,24.24,56.05
E07000122,37348,13928,12021,8420,2751,228,11399,23420,Pendle,37.29,32.19,22.54,7.37,0.61,30.52,62.71
E07000123,57567,23532,18317,11418,3867,433,15718,34035,Preston,40.88,31.82,19.83,6.72,0.75,27.3,59.12
E07000124,24045,12813,7226,3338,615,53,4006,11232,Ribble Valley,53.29,30.05,13.88,2.56,0.22,16.66,46.71
E07000125,29058,12641,8871,5727,1676,143,7546,16417,Rossendale,43.5,30.53,19.71,5.77,0.49,25.97,56.5
E07000126,46102,22397,14361,7638,1578,128,9344,23705,South Ribble,48.58,31.15,16.57,3.42,0.28,20.27,51.42
E07000127,45381,19575,14774,8900,1995,137,11032,25806,West Lancashire,43.13,32.56,19.61,4.4,0.3,24.31,56.87
E07000128,47281,19007,15769,10204,2121,180,12505,28274,Wyre,40.2,33.35,21.58,4.49,0.38,26.45,59.8
E07000129,38686,19284,12446,6016,884,56,6956,19402,Blaby,49.85,32.17,15.55,2.29,0.14,17.98,50.15
E07000130,66516,32553,20796,10795,2196,176,13167,33963,Charnwood,48.94,31.26,16.23,3.3,0.26,19.8,51.06
E07000131,34898,18871,10642,4659,682,44,5385,16027,Harborough,54.07,30.49,13.35,1.95,0.13,15.43,45.93
E07000132,45377,21518,14513,7804,1459,83,9346,23859,Hinckley and Bosworth,47.42,31.98,17.2,3.22,0.18,20.6,52.58
E07000133,21490,10734,6858,3293,559,46,3898,10756,Melton,49.95,31.91,15.32,2.6,0.21,18.14,50.05
E07000134,39128,18085,12107,7417,1431,88,8936,21043,North West Leicestershire,46.22,30.94,18.96,3.66,0.22,22.84,53.78
E07000135,21339,9537,7243,3833,673,53,4559,11802,Oadby and Wigston,44.69,33.94,17.96,3.15,0.25,21.36,55.31
E07000136,27291,9193,9922,6459,1565,152,8176,18098,Boston,33.69,36.36,23.67,5.73,0.56,29.96,66.31
E07000137,60890,21157,21099,14766,3542,326,18634,39733,East Lindsey,34.75,34.65,24.25,5.82,0.54,30.6,65.25
E07000138,39825,16737,12771,7822,2284,211,10317,23088,Lincoln,42.03,32.07,19.64,5.74,0.53,25.91,57.97
E07000139,45972,21824,14973,7887,1214,74,9175,24148,North Kesteven,47.47,32.57,17.16,2.64,0.16,19.96,52.53
E07000140,37264,13507,13509,8639,1510,99,10248,23757,South Holland,36.25,36.25,23.18,4.05,0.27,27.5,63.75
E07000141,57344,27615,18382,9466,1758,123,11347,29729,South Kesteven,48.16,32.06,16.51,3.07,0.21,19.79,51.84
