geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E07000141,South Kesteven,68.29,37.81,12.49,18.02,0.15,51.69,33.7,12.21,2.3,0.1,14.6,48.31,2021
E07000142,West Lindsey,70.28,41.45,10.87,17.88,0.05,49.25,34.15,13.47,3.01,0.13,16.61,50.75,2021
E07000143,Breckland,67.04,39.97,14.09,18.11,0.04,45.49,36.88,14.56,2.94,0.14,17.63,54.51,2021
E07000144,Broadland,77.11,45.79,9.73,12.28,0.02,50.99,34.57,12.35,2.03,0.07,14.44,49.01,2021
E07000145,Great Yarmouth,61.77,38.11,16.19,21.5,0.24,38.15,36.76,19.14,5.55,0.4,25.08,61.85,2021
E07000146,King's Lynn and West Norfolk,67.0,41.58,13.61,18.83,0.08,43.97,36.78,15.6,3.45,0.2,19.25,56.03,2021
E07000147,North Norfolk,68.65,48.6,12.97,17.65,0.04,44.4,37.65,14.86,2.92,0.17,17.95,55.6,2021
E07000148,Norwich,42.05,22.2,30.28,26.92,0.18,44.96,34.39,15.6,4.73,0.31,20.65,55.04,2021
E07000149,South Norfolk,73.14,41.9,11.7,13.89,0.03,51.67,34.58,11.59,2.05,0.1,13.74,48.33,2021
E07000163,Craven,71.59,45.36,9.57,18.1,0.04,55.22,32.43,10.35,1.93,0.07,12.35,44.78,2021
E07000164,Hambleton,68.98,43.56,13.4,16.73,0.01,54.73,32.73,10.64,1.84,0.06,12.54,45.27,2021
E07000165,Harrogate,70.12,40.66,9.87,19.0,0.1,57.27,31.27,9.59,1.77,0.09,11.46,42.73,2021
E07000166,Richmondshire,64.41,40.67,11.65,23.23,0.13,54.11,33.43,10.54,1.86,0.06,12.46,45.89,2021
E07000167,Ryedale,66.79,43.78,12.83,19.59,0.03,51.8,34.62,11.6,1.89,0.09,13.58,48.2,2021
E07000168,Scarborough,63.52,41.4,13.83,21.67,0.03,45.47,35.3,15.16,3.78,0.29,19.23,54.53,2021
E07000169,Selby,73.09,36.88,12.26,13.42,0.1,54.17,32.36,11.26,2.12,0.09,13.47,45.83,2021
E07000170,Ashfield,67.42,35.74,14.91,17.06,0.2,43.14,34.35,17.64,4.65,0.23,22.51,56.86,2021
E07000171,Bassetlaw,68.24,37.78,14.96,16.23,0.15,46.82,34.3,15.02,3.72,0.14,18.87,53.18,2021
E07000172,Broxtowe,71.24,39.91,11.04,17.28,0.13,50.02,33.78,13.23,2.86,0.11,16.2,49.98,2021
E07000173,Gedling,73.84,40.06,9.69,15.89,0.06,50.73,32.93,13.39,2.84,0.11,16.34,49.27,2021
E07000174,Mansfield,64.03,34.7,16.37,18.87,0.27,42.49,34.65,17.58,5.06,0.22,22.86,57.51,2021
E07000175,Newark and Sherwood,68.99,38.49,13.9,16.17,0.12,49.13,33.45,13.96,3.27,0.18,17.42,50.87,2021
E07000176,Rushcliffe,75.7,41.11,8.57,14.66,0.03,58.39,30.53,9.53,1.51,0.04,11.08,41.61,2021
E07000177,Cherwell,65.01,32.52,13.27,19.78,0.04,54.11,32.56,10.87,2.32,0.14,13.33,45.89,2021
E07000178,Oxford,45.32,25.33,20.92,32.15,0.17,52.2,32.19,12.15,3.2,0.26,15.62,47.8,2021
E07000179,South Oxfordshire,70.24,37.69,12.01,15.91,0.03,58.66,30.91,8.8,1.55,0.07,10.43,41.34,2021
E07000180,Vale of White Horse,68.19,36.2,14.27,15.66,0.04,58.15,30.98,9.13,1.65,0.09,10.87,41.85,2021
E07000181,West Oxfordshire,66.79,37.44,13.26,17.86,0.02,56.62,31.84,9.7,1.76,0.08,11.55,43.38,2021
E07000187,Mendip,68.68,41.07,12.03,18.05,0.04,51.42,34.01,12.05,2.41,0.12,14.58,48.58,2021
E07000188,Sedgemoor,68.31,39.23,12.78,17.9,0.1,47.47,35.14,14.06,3.16,0.17,17.38,52.53,2021
E07000189,South Somerset,67.93,41.29,14.13,16.77,0.06,50.46,34.4,12.45,2.55,0.14,15.14,49.54,2021
E07000192,Cannock Chase,67.09,33.87,16.18,15.79,0.25,45.57,33.82,16.35,4.11,0.15,20.6,54.43,2021
E07000193,East Staffordshire,66.83,36.45,12.93,19.48,0.06,49.36,33.94,13.41,3.11,0.18,16.7,50.64,2021
E07000194,Lichfield,73.26,41.42,13.0,12.75,0.02,52.01,32.8,12.63,2.43,0.13,15.19,47.99,2021
E07000195,Newcastle-under-Lyme,67.67,38.25,17.11,14.48,0.08,46.76,34.11,15.33,3.64,0.15,19.12,53.24,2021
E07000196,South Staffordshire,74.5,44.04,14.03,10.57,0.03,50.29,33.64,13.39,2.61,0.08,16.07,49.71,2021
E07000197,Stafford,70.0,39.09,13.57,15.55,0.05,52.98,32.7,11.78,2.4,0.13,14.31,47.02,2021
E07000198,Staffordshire Moorlands,78.25,48.17,8.62,12.69,0.06,49.33,34.16,13.75,2.71,0.05,16.51,50.67,2021
E07000199,Tamworth,66.99,33.34,18.01,14.11,0.17,45.7,34.6,15.88,3.7,0.12,19.7,54.3,2021
E07000200,Babergh,71.04,43.43,13.27,14.82,0.15,51.18,34.77,11.64,2.32,0.09,14.05,48.82,2021
E07000202,Ipswich,55.44,28.25,20.78,22.96,0.22,45.2,34.63,15.68,4.23,0.26,20.18,54.8,2021
E07000203,Mid Suffolk,73.87,43.19,11.3,13.71,0.11,52.17,34.1,11.6,2.04,0.09,13.73,47.83,2021
E07000207,Elmbridge,71.31,33.84,10.09,17.5,0.05,61.87,28.11,8.35,1.58,0.1,10.02,38.13,2021
E07000208,Epsom and Ewell,73.97,36.28,8.76,16.12,0.02,57.59,30.57,9.76,1.9,0.18,11.84,42.41,2021
E07000209,Guildford,66.33,34.55,12.67,19.6,0.09,57.72,30.67,9.53,1.93,0.16,11.61,42.28,2021
E07000210,Mole Valley,73.21,40.76,11.65,14.1,0.01,56.71,30.99,9.93,2.14,0.23,12.3,43.29,2021
E07000211,Reigate and Banstead,71.13,33.74,11.54,15.68,0.03,57.06,30.83,9.89,2.06,0.16,12.11,42.94,2021
E07000212,Runnymede,66.42,32.81,12.91,19.09,0.11,53.4,32.45,11.79,2.22,0.14,14.15,46.6,2021
E07000213,Spelthorne,68.1,33.44,12.67,17.91,0.05,50.91,33.56,12.58,2.74,0.21,15.53,49.09,2021
E07000214,Surrey Heath,74.01,36.54,9.58,15.36,0.04,57.92,31.08,9.15,1.74,0.11,10.99,42.08,2021
E07000215,Tandridge,74.47,37.41,11.06,13.28,0.04,55.97,31.64,10.11,2.13,0.14,12.39,44.03,2021
E07000216,Waverley,71.76,38.21,12.25,14.69,0.07,59.54,29.94,8.79,1.65,0.09,10.52,40.46,2021
E07000217,Woking,66.44,31.98,11.56,21.09,0.09,56.21,31.01,10.35,2.24,0.18,12.78,43.79,2021
E07000218,North Warwickshire,70.39,38.28,13.6,14.9,0.16,47.25,34.93,14.47,3.22,0.13,17.82,52.75,2021
E07000219,Nuneaton and Bedworth,68.05,35.04,14.42,16.61,0.11,45.05,34.6,15.95,4.13,0.27,20.35,54.95,2021
E07000220,Rugby,67.46,33.4,12.92,18.02,0.13,53.38,33.05,11.13,2.35,0.09,13.57,46.62,2021
E07000221,Stratford-on-Avon,70.84,40.62,13.3,14.06,0.02,56.51,31.78,9.79,1.86,0.05,11.7,43.49,2021
E07000222,Warwick,65.4,34.19,14.06,19.02,0.08,57.42,30.21,9.95,2.25,0.18,12.37,42.58,2021
E07000223,Adur,72.03,40.11,12.41,14.8,0.1,45.47,35.67,15.15,3.38,0.33,18.87,54.53,2021
E07000224,Arun,71.25,44.29,9.32,18.2,0.08,45.93,36.48,14.47,2.85,0.27,17.59,54.07,2021
E07000225,Chichester,65.36,41.97,15.07,18.12,0.05,53.47,33.28,10.93,2.19,0.13,13.25,46.53,2021
E07000226,Crawley,55.74,24.04,22.93,19.81,0.29,46.0,34.75,15.23,3.75,0.26,19.25,54.0,2021
E07000227,Horsham,72.25,39.25,11.47,14.52,0.04,56.71,31.75,9.68,1.72,0.14,11.54,43.29,2021
E07000228,Mid Sussex,72.63,36.72,10.75,15.33,0.01,57.3,31.31,9.59,1.69,0.11,11.39,42.7,2021
E07000229,Worthing,67.5,36.44,9.78,22.04,0.03,47.75,34.77,13.88,3.23,0.37,17.48,52.25,2021
E07000234,Bromsgrove,77.53,42.37,10.7,10.61,0.04,54.74,32.04,11.04,2.1,0.08,13.23,45.26,2021
E07000235,Malvern Hills,71.01,45.15,14.33,13.34,0.03,52.67,33.36,11.77,2.09,0.09,13.96,47.33,2021
E07000236,Redditch,64.43,30.94,20.15,14.41,0.21,46.89,34.39,14.78,3.68,0.27,18.72,53.11,2021
E07000237,Worcester,61.4,32.02,16.25,21.23,0.06,50.09,33.08,13.11,3.47,0.24,16.83,49.91,2021
E07000238,Wychavon,70.06,40.43,15.61,13.06,0.03,51.65,33.74,12.07,2.4,0.14,14.61,48.35,2021
E07000239,Wyre Forest,68.75,40.77,14.15,15.97,0.11,45.89,34.77,15.29,3.82,0.23,19.34,54.11,2021
E08000001,Bolton,61.52,33.23,19.83,17.99,0.24,43.18,34.13,17.15,5.26,0.29,22.7,56.82,2021
E08000002,Bury,66.91,34.39,14.93,17.66,0.15,47.47,33.56,14.72,4.04,0.21,18.97,52.53,2021
E08000003,Manchester,37.22,16.5,29.47,32.32,0.21,43.56,32.84,17.2,6.05,0.35,23.6,56.44,2021
E08000004,Oldham,60.37,31.55,21.22,17.71,0.26,40.94,34.65,18.17,5.93,0.31,24.41,59.06,2021
E08000005,Rochdale,60.27,30.38,20.85,18.29,0.21,42.65,34.05,17.31,5.63,0.35,23.3,57.35,2021
E08000006,Salford,46.97,21.97,25.39,26.8,0.28,46.44,32.29,15.84,5.18,0.26,21.27,53.56,2021
E08000007,Stockport,71.08,36.71,13.3,14.36,0.08,51.26,32.15,12.98,3.39,0.21,16.58,48.74,2021
E08000008,Tameside,60.81,30.51,21.23,17.54,0.1,43.18,34.2,17.14,5.17,0.31,22.62,56.82,2021
E08000009,Trafford,68.96,34.43,14.98,15.32,0.07,53.9,30.85,12.12,2.99,0.14,15.25,46.1,2021
E08000010,Wigan,66.37,34.39,17.0,15.91,0.26,46.55,32.81,16.01,4.46,0.18,20.64,53.45,2021
E08000011,Knowsley,59.46,28.61,25.26,14.32,0.15,40.79,32.35,19.2,7.35,0.31,26.86,59.21,2021
E08000012,Liverpool,46.77,24.29,26.39,26.06,0.12,41.57,32.66,18.51,6.93,0.32,25.77,58.43,2021
E08000013,St. Helens,64.25,34.59,19.74,15.14,0.1,44.18,33.41,17.1,5.14,0.17,22.4,55.82,2021
E08000014,Sefton,66.62,37.72,14.41,18.25,0.04,45.23,34.0,16.1,4.44,0.22,20.76,54.77,2021
E08000015,Wirral,65.0,35.83,15.4,18.91,0.07,45.74,33.41,16.0,4.64,0.21,20.85,54.26,2021
E08000016,Barnsley,62.33,32.97,19.71,17.19,0.29,42.79,33.95,17.66,5.38,0.22,23.26,57.21,2021
E08000017,Doncaster,62.84,33.62,17.0,19.43,0.3,43.75,34.71,16.73,4.62,0.19,21.55,56.25,2021
E08000018,Rotherham,63.63,33.63,20.67,14.95,0.34,43.58,33.94,17.43,4.85,0.2,22.48,56.42,2021
E08000019,Sheffield,58.28,31.0,22.56,18.72,0.1,45.37,34.0,15.79,4.56,0.28,20.63,54.63,2021
E08000021,Newcastle upon Tyne,49.25,25.01,27.26,22.78,0.23,46.23,32.71,15.81,5.01,0.24,21.06,53.77,2021
E08000022,North Tyneside,63.67,32.25,20.54,15.2,0.07,49.44,32.49,14.27,3.68,0.12,18.08,50.56,2021
E08000023,South Tyneside,56.61,30.02,29.59,13.22,0.09,43.33,34.12,17.53,4.87,0.15,22.55,56.67,2021
E08000024,Sunderland,58.11,31.36,26.64,14.81,0.04,41.47,34.73,18.14,5.44,0.22,23.8,58.53,2021
E08000025,Birmingham,52.67,27.15,23.5,22.6,0.37,40.41,34.66,18.62,5.91,0.39,24.93,59.59,2021
E08000026,Coventry,57.45,30.03,16.97,24.75,0.16,45.0,34.04,15.96,4.64,0.37,20.96,55.0,2021
E08000027,Dudley,66.43,37.3,18.98,13.82,0.32,44.15,34.55,16.85,4.26,0.19,21.3,55.85,2021
E08000028,Sandwell,53.75,27.58,26.57,18.61,0.59,37.92,35.36,20.15,6.27,0.3,26.72,62.08,2021
E08000029,Solihull,72.24,39.17,14.01,12.85,0.12,50.71,32.31,13.53,3.26,0.18,16.97,49.29,2021
E08000030,Walsall,59.33,32.34,23.68,16.34,0.15,40.21,35.01,18.9,5.6,0.28,24.78,59.79,2021
E08000031,Wolverhampton,54.98,29.81,25.19,19.03,0.38,40.34,35.24,18.75,5.37,0.3,24.42,59.66,2021
E08000032,Bradford,61.74,31.87,14.64,23.0,0.12,42.95,34.42,16.83,5.44,0.37,22.63,57.05,2021
E08000033,Calderdale,64.59,34.56,14.56,20.38,0.07,47.78,33.07,14.81,4.12,0.22,19.15,52.22,2021
E08000034,Kirklees,65.51,35.03,14.77,19.07,0.27,46.63,33.48,15.2,4.43,0.26,19.89,53.37,2021
E08000035,Leeds,56.98,27.95,20.42,21.79,0.23,48.31,32.9,14.37,4.14,0.28,18.79,51.69,2021
E08000036,Wakefield,62.6,31.73,21.68,14.86,0.07,44.74,33.84,16.52,4.73,0.17,21.42,55.26,2021
E09000001,City of London,36.51,22.67,14.86,48.29,0.1,59.77,31.48,7.06,1.53,0.16,8.75,40.23,2021
E09000002,Barking and Dagenham,42.38,15.06,31.49,24.21,0.2,37.59,37.07,19.07,5.88,0.39,25.34,62.41,2021
E09000003,Barnet,52.65,26.24,13.45,32.71,0.09,49.57,32.99,13.35,3.64,0.45,17.43,50.43,2021
E09000004,Bexley,68.64,32.75,14.67,15.3,0.07,48.52,34.23,13.88,3.15,0.22,17.25,51.48,2021
E09000005,Brent,38.44,20.18,23.5,36.02,0.14,39.94,36.51,17.72,5.34,0.5,23.55,60.06,2021
E09000006,Bromley,68.49,32.98,13.2,17.42,0.03,54.64,31.24,11.31,2.64,0.17,14.12,45.36,2021
E09000007,Camden,29.65,15.93,33.69,35.59,0.3,47.52,31.91,14.59,5.32,0.65,20.57,52.48,2021
E09000008,Croydon,54.7,24.19,17.9,25.79,0.19,47.99,33.85,14.15,3.65,0.36,18.16,52.01,2021
E09000009,Ealing,46.25,22.65,17.49,34.03,0.23,46.03,34.16,15.17,4.25,0.39,19.81,53.97,2021
E09000010,Enfield,52.39,26.25,17.01,29.26,0.24,42.19,35.66,16.71,4.97,0.47,22.15,57.81,2021
E09000011,Greenwich,41.15,16.2,30.97,25.5,0.21,48.24,32.11,14.56,4.72,0.38,19.65,51.76,2021
E09000012,Hackney,24.57,9.67,40.48,32.19,0.24,44.95,32.51,16.0,5.97,0.57,22.54,55.05,2021
E09000013,Hammersmith and Fulham,32.11,15.36,29.82,36.38,0.19,51.39,31.07,12.99,4.09,0.47,17.54,48.61,2021
E09000014,Haringey,37.22,17.26,25.19,35.57,0.37,43.32,33.86,16.77,5.48,0.58,22.83,56.68,2021
E09000015,Harrow,58.78,30.06,10.37,29.56,0.17,48.73,34.53,13.4,3.08,0.26,16.74,51.27,2021
E09000016,Havering,69.49,34.48,13.63,15.82,0.09,47.3,34.53,14.67,3.29,0.21,18.18,52.7,2021
E09000017,Hillingdon,56.61,26.54,16.12,25.89,0.12,45.9,34.98,15.06,3.76,0.3,19.12,54.1,2021
E09000018,Hounslow,45.69,21.14,21.0,30.87,0.28,44.1,35.23,16.01,4.25,0.41,20.67,55.9,2021
E09000019,Islington,26.67,11.56,40.2,31.17,0.32,48.35,30.47,15.11,5.61,0.47,21.18,51.65,2021
E09000020,Kensington and Chelsea,31.68,19.89,27.56,39.56,0.19,52.59,30.27,12.14,4.36,0.64,17.14,47.41,2021
E09000021,Kingston upon Thames,60.85,28.22,11.04,27.29,0.12,55.83,30.89,10.74,2.36,0.18,13.28,44.17,2021
E09000022,Lambeth,33.02,12.01,33.59,31.43,0.15,50.02,31.72,13.83,4.08,0.35,18.26,49.98,2021
E09000023,Lewisham,41.86,15.4,29.21,27.2,0.14,47.21,32.49,15.16,4.7,0.44,20.3,52.79,2021
E09000024,Merton,55.63,25.32,14.19,29.06,0.05,53.91,31.32,11.79,2.78,0.21,14.78,46.09,2021
E09000025,Newham,30.8,12.72,28.04,38.51,0.28,39.3,35.75,18.38,6.13,0.43,24.94,60.7,2021
E09000026,Redbridge,57.1,26.95,11.29,30.45,0.22,46.28,34.96,14.77,3.73,0.27,18.77,53.72,2021
E09000027,Richmond upon Thames,62.4,30.4,12.08,24.74,0.08,61.04,28.06,8.66,2.08,0.16,10.9,38.96,2021
E09000028,Southwark,28.86,10.61,39.74,28.67,0.3,48.55,31.97,14.54,4.64,0.31,19.49,51.45,2021
E09000029,Sutton,64.42,28.42,14.17,20.26,0.07,50.87,33.1,12.71,3.1,0.23,16.03,49.13,2021
E09000030,Tower Hamlets,23.13,7.82,35.87,38.16,0.23,46.4,31.8,15.5,5.85,0.44,21.79,53.6,2021
E09000031,Waltham Forest,48.94,20.23,21.48,27.79,0.15,45.26,33.81,16.09,4.47,0.37,20.93,54.74,2021
E09000032,Wandsworth,42.45,17.77,19.32,36.27,0.13,58.36,27.86,10.5,2.99,0.29,13.78,41.64,2021
E09000033,Westminster,27.38,16.04,28.28,43.31,0.3,50.14,30.42,13.42,5.3,0.72,19.44,49.86,2021
W06000001,Isle of Anglesey,68.19,44.63,15.64,15.57,0.32,47.64,34.13,14.71,3.43,0.1,18.23,52.36,2021
W06000002,Gwynedd,65.41,43.47,16.74,17.35,0.21,49.63,33.34,13.82,3.08,0.13,17.03,50.37,2021
W06000003,Conwy,68.39,43.57,11.98,18.99,0.08,46.13,34.79,15.16,3.74,0.17,19.08,53.87,2021
W06000004,Denbighshire,65.92,39.7,13.32,20.03,0.17,44.81,34.39,16.35,4.21,0.24,20.8,55.19,2021
W06000005,Flintshire,71.77,38.78,14.52,13.21,0.05,48.94,33.53,14.18,3.22,0.13,17.53,51.06,2021
W06000006,Wrexham,62.54,34.44,21.0,15.83,0.32,46.85,33.81,15.15,4.03,0.16,19.34,53.15,2021
W06000008,Ceredigion,68.55,47.9,10.49,20.62,0.03,47.11,35.67,14.23,2.91,0.09,17.22,52.89,2021
W06000009,Pembrokeshire,67.05,44.42,16.21,16.43,0.06,46.04,34.71,15.44,3.64,0.17,19.25,53.96,2021
W06000010,Carmarthenshire,70.41,43.58,14.31,14.89,0.14,45.32,34.09,16.42,4.07,0.11,20.6,54.68,2021
W06000011,Swansea,62.29,35.41,19.1,18.01,0.3,45.51,33.31,16.15,4.86,0.17,21.19,54.49,2021
W06000012,Neath Port Talbot,66.55,38.24,19.24,13.87,0.19,41.42,33.21,19.01,6.19,0.17,25.37,58.58,2021
W06000013,Bridgend,70.5,37.96,13.91,15.28,0.1,45.41,32.84,16.63,4.98,0.15,21.76,54.59,2021
W06000014,Vale of Glamorgan,71.86,38.39,12.22,15.63,0.05,50.99,32.33,13.31,3.25,0.12,16.68,49.01,2021
W06000015,Cardiff,57.98,28.56,17.16,24.29,0.27,48.93,31.65,14.47,4.66,0.28,19.42,51.07,2021
W06000016,Rhondda Cynon Taff,68.35,38.4,13.72,17.65,0.12,41.97,33.07,18.89,5.87,0.2,24.96,58.03,2021
W06000018,Caerphilly,67.54,36.0,18.78,13.32,0.06,42.07,33.26,18.78,5.71,0.18,24.67,57.93,2021
W06000019,Blaenau Gwent,60.06,34.82,23.71,15.98,0.14,38.34,33.3,20.74,7.44,0.19,28.36,61.66,2021
W06000020,Torfaen,64.4,34.67,23.79,11.17,0.08,42.29,34.14,17.99,5.38,0.2,23.58,57.71,2021
W06000021,Monmouthshire,71.91,43.35,14.03,13.64,0.05,51.67,33.21,12.29,2.72,0.11,15.12,48.33,2021
W06000022,Newport,62.92,30.54,19.47,16.68,0.21,45.86,33.0,16.01,4.85,0.29,21.14,54.14,2021
W06000023,Powys,67.6,46.69,14.09,17.88,0.18,48.56,34.68,13.82,2.85,0.1,16.76,51.44,2021
W06000024,Merthyr Tydfil,62.49,35.3,21.82,15.39,0.17,40.19,33.27,19.22,7.02,0.3,26.54,59.81,2021
